Plik	Det	Theta	t0	L0	L1
135	135	66.26	-0.5	11	0.56894
136	136	64.02	-0.5	11	0.5543401
137	137	61.81	-0.5	11	0.55142
138	138	60.55	-0.5	11	0.55671
139	139	66.1	-0.5	11	0.5641551
140	140	63.86	-0.5	11	0.55193
141	141	61.68	-0.5	11	0.55023
142	142	60.67	-0.5	11	0.557825
143	143	57.48	-0.5	11	0.777355
144	144	55.19	-0.5	11	0.7678599
145	145	53.62	-0.5	11	0.7680349
146	146	52.06	-0.5	11	0.769785
147	147	57.39	-0.5	11	0.779765
148	148	54.92	-0.5	11	0.767875
149	149	53.48	-0.5	11	0.7680599
150	150	51.95	-0.5	11	0.77457
151	151	52.92	-0.5	11	0.56893
152	152	48.89	-0.5	11	0.554335
153	153	45.13	-0.5	11	0.551425
154	154	42.35	-0.5	11	0.55782
155	155	52.7	-0.5	11	0.5677251
156	156	48.79	-0.5	11	0.55313
157	157	44.9	-0.5	11	0.55023
158	158	42.35	-0.5	11	0.5626
159	159	38.78	-0.5	11	0.7666599
160	160	42.26	-0.5	11	0.77509
161	161	35.17	-0.5	11	0.76329
162	162	32.65	-0.5	11	0.7686549
163	163	42.53	-0.5	11	0.7726
164	164	39.18	-0.5	11	0.763085
165	165	35.5	-0.5	11	0.762085
166	166	32.68	-0.5	11	0.76737
167	167	47.43	-0.5	11	0.76907
168	168	43.93	-0.5	11	0.75829
169	169	41.05	-0.5	11	0.754975
170	170	38.66	-0.5	11	0.76148
171	171	47.62	-0.5	11	0.7749749
172	172	44.24	-0.5	11	0.761875
173	173	41.13	-0.5	11	0.75849
174	174	38.95	-0.5	11	0.7602749
175	175	56.43	-0.5	11	0.56183
176	176	52.83	-0.5	11	0.545945
177	177	49.5	-0.5	11	0.5454301
178	178	47.38	-0.5	11	0.55073
179	179	56.7	-0.5	11	0.5665401
180	180	52.74	-0.5	11	0.55192
181	181	49.74	-0.5	11	0.547915
182	182	47.49	-0.5	11	0.550735
183	183	61.98	-0.5	11	0.77498
184	184	60.59	-0.5	11	0.76429
185	185	58.98	-0.5	11	0.763275
186	186	57.95	-0.5	11	0.770955
187	187	62.45	-0.5	11	0.7714549
188	188	59.96	-0.5	11	0.766685
189	189	58.42	-0.5	11	0.76087
190	190	57.35	-0.5	11	0.770965
191	191	71.51	-0.5	11	0.5641251
192	192	70.76	-0.5	11	0.553125
193	193	68.56	-0.5	11	0.550215
194	194	67.42	-0.5	11	0.559105
195	195	73.92	-0.5	11	0.57612
196	196	70.75	-0.5	11	0.5591251
197	197	68.39	-0.5	11	0.55742
198	198	67.54	-0.5	11	0.562615
