det no		theta	t0	L0	L1
3	3	131.337	-0.10963	11.0336	0.63223
4	4	132.768	-0.18256	11.0336	0.61748
5	5	133.811	0.12984	11.0336	0.60237
6	6	133.779	-0.15822	11.0336	0.60774
7	7	133.255	0.25225	11.0336	0.60402
8	8	131.65	-0.00894	11.0336	0.63225
9	9	133.913	-0.03146	11.0336	0.59588
10	10	134.999	-0.21004	11.0336	0.59337
11	11	135.602	-0.17295	11.0336	0.58651
12	12	135.253	0.00727	11.0336	0.58934
13	13	133.863	-0.17149	11.0336	0.60672
14	14	134.912	-0.11481	11.0336	0.58871
15	15	136.81	-0.01887	11.0336	0.57287
16	16	137.41	-0.1866	11.0336	0.56985
17	17	136.978	-0.0285	11.0336	0.57259
18	18	135.789	-0.04097	11.0336	0.58648
19	19	137.054	-0.18732	11.0336	0.56758
20	20	138.608	-0.12231	11.0336	0.55785
21	21	139.243	-0.10091	11.0336	0.55501
22	22	138.873	-0.05215	11.0336	0.55249
23	23	139.794	-0.15408	11.0336	0.54397
24	24	141.141	0.071	11.0336	0.53599
25	25	141.193	-0.06849	11.0336	0.53847
26	26	140.032	0.06426	11.0336	0.54587
27	27	141.636	-0.10272	11.0336	0.53296
28	28	143.173	-0.0916	11.0336	0.5236
29	29	143.214	-0.1092	11.0336	0.52553
30	30	142.052	-0.01581	11.0336	0.52782
31	31	144.622	-0.20062	11.0336	0.51539
32	32	145.71	-0.02034	11.0336	0.50691
33	33	145.017	-0.03899	11.0336	0.51019
34	34	147.228	0.03267	11.0336	0.49123
35	35	147.892	-0.19189	11.0336	0.49922
36	36	147.124	-0.03367	11.0336	0.49747
37	37	149.552	0.03295	11.0336	0.47639
38	38	150.604	-0.09576	11.0336	0.48024
39	39	149.754	0.09138	11.0336	0.4807
40	40	152.878	-0.01714	11.0336	0.46717
41	41	153.024	-0.02954	11.0336	0.46825
42	42	155.79	-0.02948	11.0336	0.45445
43	43	155.611	-0.17949	11.0336	0.46015
44	44	162.08	-0.11524	11.0336	0.43454
45	45	158.789	-0.08307	11.0336	0.444
46	46	165.631	0.00863	11.0336	0.42114
47	47	131.893	-0.09729	11.0336	0.62171
48	48	133.316	-0.03052	11.0336	0.60511
49	49	134.051	0.0056	11.0336	0.59897
50	50	133.773	-0.12942	11.0336	0.60574
51	51	132.956	-0.05753	11.0336	0.61126
52	52	131.336	-0.06126	11.0336	0.63319
53	53	134.185	-0.07969	11.0336	0.5957
54	54	135.377	0.01129	11.0336	0.58415
55	55	135.689	-0.11722	11.0336	0.58459
56	56	135.034	-0.16738	11.0336	0.5929
57	57	133.595	-0.24687	11.0336	0.6085
58	58	135.718	-0.08797	11.0336	0.57992
59	59	137.05	-0.1106	11.0336	0.57122
60	60	137.577	-0.03723	11.0336	0.56579
61	61	137.07	0.06382	11.0336	0.56492
62	62	135.475	-0.12799	11.0336	0.58857
63	63	137.516	-0.17157	11.0336	0.56361
64	64	139.066	-0.05782	11.0336	0.54938
65	65	139.588	-0.15894	11.0336	0.54493
66	66	138.745	-0.095	11.0336	0.55569
67	67	140.263	-0.09238	11.0336	0.5374
68	68	141.335	-0.18628	11.0336	0.53758
69	69	141.364	-0.1251	11.0336	0.5338
70	70	139.937	0.05098	11.0336	0.53779
71	71	142.271	-0.13059	11.0336	0.52529
72	72	143.657	-0.16247	11.0336	0.51866
73	73	143.697	-0.00159	11.0336	0.51567
74	74	141.889	-0.1832	11.0336	0.5302
75	75	145.304	-0.07122	11.0336	0.50431
76	76	145.931	-0.1227	11.0336	0.50713
77	77	145.084	-0.0548	11.0336	0.50767
78	78	147.652	-0.12205	11.0336	0.48983
79	79	148.572	-0.07613	11.0336	0.48625
80	80	147.255	-0.15949	11.0336	0.49474
81	81	149.805	-0.16165	11.0336	0.48402
82	82	151.156	-0.02801	11.0336	0.47205
83	83	149.641	-0.09552	11.0336	0.48248
84	84	153.472	-0.11913	11.0336	0.46232
85	85	153.329	-0.09919	11.0336	0.46242
86	86	156.265	-0.16495	11.0336	0.45538
87	87	155.834	-0.1499	11.0336	0.45635
88	88	158.577	-0.1893	11.0336	0.44804
89	89	162.425	-0.15384	11.0336	0.43295
90	90	165.327	-0.2256	11.0336	0.42877
91	91	132.41	-0.18256	11.0336	0.61953
92	92	133.733	-0.05787	11.0336	0.60574
93	93	134.506	-0.14185	11.0336	0.59778
94	94	134.309	-0.20043	11.0336	0.60305
95	95	133.353	-0.11719	11.0336	0.60921
96	96	131.673	-0.1269	11.0336	0.63314
97	97	135.238	0.07701	11.0336	0.58315
98	98	135.848	-0.20109	11.0336	0.58656
99	99	136.274	-0.18862	11.0336	0.57991
100	100	135.544	-0.22018	11.0336	0.5902
101	101	134.186	-0.11986	11.0336	0.59881
102	102	136.257	-0.08123	11.0336	0.57803
103	103	137.578	-0.18876	11.0336	0.57251
104	104	138.02	-0.20403	11.0336	0.56582
105	105	137.321	-0.18576	11.0336	0.57277
106	106	136.028	0.05157	11.0336	0.57952
107	107	137.98	-0.13393	11.0336	0.56781
108	108	139.667	-0.15746	11.0336	0.54987
109	109	139.989	-0.22884	11.0336	0.54956
110	110	139.214	-0.13553	11.0336	0.55404
111	111	140.799	-0.24601	11.0336	0.54337
112	112	141.969	-0.23206	11.0336	0.53605
113	113	141.753	-0.18621	11.0336	0.53744
114	114	140.328	-0.20158	11.0336	0.5433
115	115	142.752	-0.14321	11.0336	0.52718
116	116	144.018	-0.23783	11.0336	0.52188
117	117	144.104	-0.13714	11.0336	0.51812
118	118	142.275	-0.14154	11.0336	0.5309
119	119	145.913	-0.15559	11.0336	0.50613
120	120	146.441	-0.16518	11.0336	0.50707
121	121	145.512	-0.10291	11.0336	0.50614
122	122	148.138	-0.16636	11.0336	0.4953
123	123	148.88	-0.1926	11.0336	0.49346
124	124	147.562	-0.15701	11.0336	0.49892
125	125	150.542	-0.16294	11.0336	0.48257
126	126	151.578	-0.10377	11.0336	0.47643
127	127	149.95	-0.12677	11.0336	0.48701
128	128	153.968	-0.15433	11.0336	0.46621
129	129	153.724	-0.12227	11.0336	0.46709
130	130	137.143	-0.08416	11.0336	0.44979
131	131	156.348	-0.09771	11.0336	0.45227
132	132	159.326	-0.1305	11.0336	0.44345
133	133	163.119	-0.17089	11.0336	0.43285
134	134	166.062	-0.15033	11.0336	0.42724
135	135	66.3037	-0.6689	11.0336	0.52517
136	136	63.8572	-0.6689	11.0336	0.51365
137	137	62.1708	-0.6689	11.0336	0.50764
138	138	61.1306	-0.6689	11.0336	0.51489
139	139	66.6385	-0.6689	11.0336	0.52301
140	140	64.2666	-0.6689	11.0336	0.51301
141	141	62.47	-0.6689	11.0336	0.5091
142	142	73.6754	-0.6689	11.0336	0.51787
143	143	56.5401	-0.6689	11.0336	0.73806
144	144	54.1901	-0.6689	11.0336	0.72584
145	145	52.3439	-0.6689	11.0336	0.72589
146	146	50.8361	-0.6689	11.0336	0.73654
147	147	56.7445	-0.6689	11.0336	0.73763
148	148	54.3382	-0.6689	11.0336	0.73004
149	149	52.3912	-0.6689	11.0336	0.72282
150	150	51.1122	-0.6689	11.0336	0.73442
151	151	51.8783	-0.6689	11.0336	0.52387
152	152	47.4102	-0.6689	11.0336	0.50691
153	153	43.8561	-0.6689	11.0336	0.50625
154	154	41.2644	-0.6689	11.0336	0.51291
155	155	51.8929	-0.6689	11.0336	0.52074
156	156	47.3885	-0.6689	11.0336	0.50866
157	157	43.6751	-0.6689	11.0336	0.5067
158	158	41.3394	-0.6689	11.0336	0.50969
159	159	42.0419	-0.6689	11.0336	0.72822
160	160	38.0061	-0.6689	11.0336	0.71713
161	161	34.6511	-0.6689	11.0336	0.71716
162	162	31.8983	-0.6689	11.0336	0.72247
163	163	42.5944	-0.6689	11.0336	0.72824
164	164	38.7241	-0.6689	11.0336	0.7212
165	165	35.1452	-0.6689	11.0336	0.71939
166	166	32.3482	-0.6689	11.0336	0.72378
167	167	45.9184	-0.6689	11.0336	0.72291
168	168	42.1868	-0.6689	11.0336	0.71435
169	169	39.3586	-0.6689	11.0336	0.71069
170	170	36.993	-0.6689	11.0336	0.71523
171	171	45.9634	-0.6689	11.0336	0.72105
172	172	42.6484	-0.6689	11.0336	0.72264
173	173	39.4362	-0.6689	11.0336	0.71813
174	174	37.2458	-0.6689	11.0336	0.71473
175	175	55.1197	-0.6689	11.0336	0.51458
176	176	51.1744	-0.6689	11.0336	0.50666
177	177	48.0361	-0.6689	11.0336	0.49942
178	178	45.8994	-0.6689	11.0336	0.50766
179	179	55.0959	-0.6689	11.0336	0.5213
180	180	51.1799	-0.6689	11.0336	0.50318
181	181	47.9833	-0.6689	11.0336	0.50923
182	182	45.9373	-0.6689	11.0336	0.50592
183	183	60.3426	-0.6689	11.0336	0.73618
184	184	58.3537	-0.6689	11.0336	0.72613
185	185	56.6546	-0.6689	11.0336	0.73165
186	186	55.5544	-0.6689	11.0336	0.72639
187	187	60.3566	-0.6689	11.0336	0.7409
188	188	58.3619	-0.6689	11.0336	0.731
189	189	56.789	-0.6689	11.0336	0.72234
190	190	55.5968	-0.6689	11.0336	0.72523
191	191	69.6276	-0.6689	11.0336	0.52076
192	192	67.7275	-0.6689	11.0336	0.51127
193	193	66.2275	-0.6689	11.0336	0.50869
194	194	65.368	-0.6689	11.0336	0.51695
195	195	70.0905	-0.6689	11.0336	0.53047
196	196	68.1022	-0.6689	11.0336	0.51905
197	197	66.5199	-0.6689	11.0336	0.51275
198	198	65.4469	-0.6689	11.0336	0.52123
