Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 0.115845 11.0336 0.000193065 0.62958 0.000146753 4896.42 0.122941 131.364 0.357912
4 -0.182561 0.0714822 11.0336 0.000193065 0.615145 0.000120897 4896.35 0.10128 132.746 0.358503
5 0.129837 0.0509193 11.0336 0.000193065 0.59397 0.00011709 4896.31 0.0980905 133.989 0.289848
6 -0.158219 0.183947 11.0336 0.000193065 0.601179 0.000140727 4896.15 0.117892 133.902 0.289973
7 0.252249 0.106289 11.0336 0.000193065 0.599325 0.000133376 4896.19 0.111734 133.287 0.319235
8 -0.00894233 0.0307545 11.0336 0.000193065 0.63095 0.000144742 4896.59 0.121256 130.156 2.22304
9 -0.0314561 0.0192738 11.0336 0.000193065 0.594581 0.000123753 4895.94 0.103672 133.887 0.331742
10 -0.21004 0.0772454 11.0336 0.000193065 0.591105 0.00010479 4896.7 0.0877862 134.925 0.33628
11 -0.172947 0.121347 11.0336 0.000193065 0.586955 9.94045e-05 4896.94 0.0832749 135.08 0.179472
12 0.00726825 0.184944 11.0336 0.000193065 0.58276 0.000109961 4896.72 0.0921185 135.258 0.333557
13 -0.171486 0.0378493 11.0336 0.000193065 0.610243 0.000109252 4896.9 0.0915249 133.736 0.372736
14 -0.114808 0.0226849 11.0336 0.000193065 0.58676 0.000121064 4896.6 0.10142 135.166 0.289922
15 -0.0188659 0.0628409 11.0336 0.000193065 0.567193 0.000101363 4896.46 0.0849153 136.803 0.392466
16 -0.186601 0.0306685 11.0336 0.000193065 0.568015 0.000120916 4896.71 0.101296 137.338 0.393255
17 -0.0284992 0.0191916 11.0336 0.000193065 0.565292 8.88292e-05 4896.28 0.0744156 137.031 0.387688
18 -0.0409748 0.062549 11.0336 0.000193065 0.578541 9.85362e-05 4896.33 0.0825475 135.891 0.395958
19 -0.187318 0.063359 11.0336 0.000193065 0.568483 0.000106976 4896.26 0.0896177 136.976 0.327857
20 -0.122314 0.0293106 11.0336 0.000193065 0.555391 9.29487e-05 4896.16 0.0778667 138.536 0.417803
21 -0.100908 0.0917966 11.0336 0.000193065 0.548913 9.27204e-05 4896.32 0.0776754 139.327 0.396306
22 -0.0521458 0.0894801 11.0336 0.000193065 0.556801 0.000100801 4896.32 0.0844448 138.677 0.359064
23 -0.154082 0.036887 11.0336 0.000193065 0.542386 9.83767e-05 4896.22 0.0824139 139.647 0.466171
24 0.0709979 0.036306 11.0336 0.000193065 0.529151 9.70567e-05 4896.18 0.0813081 141.295 0.399936
25 -0.0684934 0.0523658 11.0336 0.000193065 0.535652 8.81294e-05 4896.55 0.0738294 141.282 0.371677
26 0.0642571 0.0164564 11.0336 0.000193065 0.536093 9.11761e-05 4897.17 0.0763817 139.406 1.10029
27 -0.102721 0.0192834 11.0336 0.000193065 0.529083 9.74628e-05 4896.22 0.0816483 141.664 0.377459
28 -0.0915984 0.0480299 11.0336 0.000193065 0.518135 8.84032e-05 4896.35 0.0740587 143.21 0.537003
29 -0.109195 0.0440165 11.0336 0.000193065 0.520105 8.17333e-05 4896.14 0.0684711 143.363 0.390302
30 -0.0158122 0.0132203 11.0336 0.000193065 0.527201 8.28655e-05 4896.31 0.0694196 141.964 0.449603
31 -0.200619 0.0292638 11.0336 0.000193065 0.51188 8.52311e-05 4896.14 0.0714013 144.648 0.413896
32 -0.02034 0.00902801 11.0336 0.000193065 0.501646 8.49439e-05 4898.16 0.0711607 136.636 9.60353
33 -0.0389947 0.00362693 11.0336 0.000193065 0.505175 8.81325e-05 4896.2 0.0738319 145.154 0.455327
34 0.0326716 0.0220853 11.0336 0.000193065 0.489751 8.60406e-05 4896.01 0.0720795 147.176 0.521816
35 -0.191889 0.0768739 11.0336 0.000193065 0.49477 7.96459e-05 4896.63 0.0667224 147.867 0.560818
36 -0.0336664 1.37488e-05 11.0336 0.000193065 0.49061 9.32892e-05 4896.1 0.0781519 147.395 0.461179
37 0.0329497 0.00603054 11.0336 0.000193065 0.478185 9.73224e-05 4896 0.0815307 149.338 0.64014
38 -0.0957589 0.0495124 11.0336 0.000193065 0.477577 7.39372e-05 4896.3 0.06194 150.543 0.605459
39 0.0913752 0.0455202 11.0336 0.000193065 0.480766 8.10522e-05 4896.03 0.0679005 149.605 0.562486
40 -0.0171352 0.0122865 11.0336 0.000193065 0.462436 6.96096e-05 4896.09 0.0583146 144.455 14.9903
41 -0.0295366 0.0498054 11.0336 0.000193065 0.46032 7.10371e-05 4899.32 0.0595104 144.972 3.48464e-10
42 -0.0294787 0.0191356 11.0336 0.000193065 0.446744 7.24264e-05 4899.05 0.0606744 148.461 0.69847
43 -0.179485 0.0228084 11.0336 0.000193065 0.452422 7.01586e-05 4900.02 0.0587745 146.051 5.10628e-10
44 -0.115237 0.0330958 11.0336 0.000193065 0.431416 7.05867e-05 4895.75 0.0591331 162.316 0.884816
45 -0.0830695 0.0346559 11.0336 0.000193065 0.443816 7.6079e-05 4896.19 0.0637342 158.853 0.695239
46 0.00863372 0.00429529 11.0336 0.000193065 0.415566 9.07649e-05 4895.29 0.0760372 165.797 1.28627
47 -0.0972913 0.0989053 11.0336 0.000193065 0.625217 0.000152336 4896.29 0.127618 131.82 0.351562
48 -0.0305226 0.105781 11.0336 0.000193065 0.603511 0.000131727 4896.16 0.110353 133.313 0.298383
49 0.00560451 0.0483082 11.0336 0.000193065 0.597621 0.000123647 4898.12 0.103584 119.674 11.4897
50 -0.129423 0.0429619 11.0336 0.000193065 0.599846 0.000122969 4896.61 0.103015 133.793 0.357641
51 -0.0575315 0.121991 11.0336 0.000193065 0.605611 0.00012952 4896.37 0.108504 132.939 0.381943
52 -0.0612647 0.0185732 11.0336 0.000193065 0.630782 0.000158379 4896.66 0.13268 131.279 0.36416
53 -0.0796938 0.105939 11.0336 0.000193065 0.593275 0.000127503 4895.91 0.106814 134.15 0.308279
54 0.0112885 0.0371521 11.0336 0.000193065 0.578277 0.000114272 4896.09 0.0957301 135.437 0.368828
55 -0.117219 0.0193326 11.0336 0.000193065 0.58055 0.00010252 4896.48 0.0858851 135.838 0.350747
56 -0.167384 0.0235209 11.0336 0.000193065 0.581325 0.000118405 4899.45 0.0991925 131.991 2.71366
57 -0.24687 0.0791041 11.0336 0.000193065 0.60227 0.000118063 4896.47 0.0989061 133.641 0.353495
58 -0.0879728 0.0345859 11.0336 0.000193065 0.579371 0.000115196 4896.09 0.0965044 135.713 0.329714
59 -0.110596 0.0281712 11.0336 0.000193065 0.567483 0.000103784 4896.06 0.086944 137.036 0.385268
60 -0.0372299 0.0595924 11.0336 0.000193065 0.567384 9.94021e-05 4896.67 0.0832729 137.383 0.423314
61 0.0638165 0.0529537 11.0336 0.000193065 0.564939 0.000106564 4896.35 0.0892729 136.891 0.41097
62 -0.127988 0.017168 11.0336 0.000193065 0.585369 0.000122706 4895.58 0.102796 135.459 0.381811
63 -0.171573 0.00196878 11.0336 0.000193065 0.561546 0.000107859 4896.09 0.0903575 137.47 0.348171
64 -0.0578224 0.0353186 11.0336 0.000193065 0.543009 0.000116383 4896.07 0.0974983 139.203 0.446916
65 -0.158936 0.0378213 11.0336 0.000193065 0.551667 0.000109937 4896.44 0.0920984 137.54 3.24517
66 -0.0950048 0.129425 11.0336 0.000193065 0.554089 9.68778e-05 4896.5 0.0811582 138.69 0.434256
67 -0.0923823 0.056939 11.0336 0.000193065 0.538051 9.66589e-05 4895.99 0.0809749 140.153 0.423152
68 -0.186277 0.0213545 11.0336 0.000193065 0.535296 9.37214e-05 4896.16 0.078514 141.256 0.429525
69 -0.125101 0.00553097 11.0336 0.000193065 0.533856 8.95983e-05 4896.15 0.0750599 141.202 0.443906
70 0.0509798 0.0358672 11.0336 0.000193065 0.536008 0.000253465 4896.3 0.212337 139.729 0.249716
71 -0.130588 0.00088617 11.0336 0.000193065 0.521066 9.21911e-05 4895.82 0.077232 142.348 0.460668
72 -0.162474 0.0513534 11.0336 0.000193065 0.514221 9.19062e-05 4896.17 0.0769933 143.6 0.45781
73 -0.00158728 0.129828 11.0336 0.000193065 0.514949 0.000110679 4896.28 0.0927202 143.63 0.429947
74 -0.183199 0.0782311 11.0336 0.000193065 0.529698 9.22568e-05 4896.46 0.077287 141.788 0.433818
75 -0.0712165 0.0583423 11.0336 0.000193065 0.499793 8.69965e-05 4895.99 0.0728803 145.288 0.494649
76 -0.122703 0.0186028 11.0336 0.000193065 0.502095 8.74755e-05 4896.3 0.0732816 145.939 0.561811
77 -0.0548004 0.0566571 11.0336 0.000193065 0.507008 8.8424e-05 4895.91 0.0740762 144.982 0.404106
78 -0.122047 0.0839188 11.0336 0.000193065 0.48518 8.34016e-05 4895.77 0.0698687 147.757 0.395764
79 -0.0761264 0.00031225 11.0336 0.000193065 0.484035 7.911e-05 4895.92 0.0662735 148.548 0.510867
80 -0.159491 0.00850399 11.0336 0.000193065 0.493167 8.32326e-05 4896.29 0.0697271 135.332 20.8812
81 -0.161646 0.00739024 11.0336 0.000193065 0.473776 8.03605e-05 4895.99 0.0673211 149.665 0.0158411
82 -0.0280051 0.0229031 11.0336 0.000193065 0.467356 7.67487e-05 4895.85 0.0642953 151.175 0.561588
83 -0.0955184 0.0267572 11.0336 0.000193065 0.475361 8.10516e-05 4896.17 0.0679 149.814 0.554313
84 -0.119133 0.080276 11.0336 0.000193065 0.457087 7.15381e-05 4895.55 0.0599302 153.754 0.592725
85 -0.0991924 0.0431358 11.0336 0.000193065 0.461695 7.69209e-05 4896.14 0.0644396 143.881 16.432
86 -0.164953 0.0218374 11.0336 0.000193065 0.44853 7.01786e-05 4895.75 0.0587913 156.429 0.636268
87 -0.1499 0.0316286 11.0336 0.000193065 0.453156 7.33535e-05 4896.12 0.061451 155.881 0.703759
88 -0.189303 0.00333394 11.0336 0.000193065 0.441375 6.72533e-05 4895.94 0.0563407 158.885 0.707903
89 -0.153843 0.0216763 11.0336 0.000193065 0.430122 6.83869e-05 4895.62 0.0572903 162.486 0.893653
90 -0.225601 0.0621248 11.0336 0.000193065 0.426882 7.16476e-05 4895.84 0.0600219 165.208 1.34703
91 -0.182556 0.0119308 11.0336 0.000193065 0.624839 0.000129756 4896.13 0.108702 132.212 0.361746
92 -0.05787 0.0207623 11.0336 0.000193065 0.598814 0.000116818 4896.36 0.0978626 133.828 0.311774
93 -0.141848 0.00797768 11.0336 0.000193065 0.595851 0.000125876 4897.21 0.105451 133.995 0.911559
94 -0.200432 0.117143 11.0336 0.000193065 0.60395 0.000123248 4896.75 0.10325 134.161 0.346094
95 -0.117193 0.0517002 11.0336 0.000193065 0.606183 0.000129842 4896.3 0.108773 132.527 1.004
96 -0.126899 0.0396805 11.0336 0.000193065 0.629075 0.000137541 4896.21 0.115223 131.679 0.303383
97 0.0770144 0.28538 11.0336 0.000193065 0.585494 0.000199318 4896.18 0.166977 134.549 0.233389
98 -0.201085 0.0514526 11.0336 0.000193065 0.58387 0.000101295 4896.62 0.084859 128.903 11.4273
99 -0.188617 0.0696385 11.0336 0.000193065 0.579701 9.59612e-05 4896.36 0.0803904 136.188 0.369704
100 -0.220183 0.0329271 11.0336 0.000193065 0.581766 0.000120569 4896.14 0.101005 135.645 0.375472
101 -0.11986 0.0150451 11.0336 0.000193065 0.602 0.000118092 4896.4 0.0989302 134.045 0.322998
102 -0.0812284 0.122472 11.0336 0.000193065 0.577177 0.000117834 4896.15 0.098714 136.137 0.455022
103 -0.188764 0.0719016 11.0336 0.000193065 0.565102 0.000102104 4896.18 0.0855366 137.64 0.397858
104 -0.204031 0.0155703 11.0336 0.000193065 0.560915 9.5808e-05 4896.25 0.080262 127.741 17.8038
105 -0.185763 0.0697236 11.0336 0.000193065 0.571297 0.000105534 4896.63 0.0884096 137.248 0.408623
106 0.0515727 0.124573 11.0336 0.000193065 0.570054 0.000107939 4897.07 0.0904243 136.273 0.357727
107 -0.133934 0.0273352 11.0336 0.000193065 0.564072 0.000105663 4896.15 0.0885179 137.955 0.445246
108 -0.157458 0.109673 11.0336 0.000193065 0.541672 0.000123057 4896.09 0.103089 139.849 0.391649
109 -0.228844 0.018467 11.0336 0.000193065 0.546531 9.96254e-05 4896.32 0.08346 139.944 0.39105
110 -0.135526 0.0261563 11.0336 0.000193065 0.552041 9.44857e-05 4896.16 0.0791543 139.163 0.408708
