Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.4157 0 11.005 0 0.666688 0.000146753 4900.74 0.122941 131.032 0.408657
4 -0.5338 0 11.005 0 0.653603 0.000120897 4898.05 0.10128 132.562 0.347774
5 -0.3362 0 11.005 0 0.636015 0.00011709 4896.03 0.0980905 133.539 0.414524
6 -0.5143 0 11.005 0 0.639634 0.000140727 4904.56 0.117892 133.509 0.433941
7 -0.4171 0 11.005 0 0.647541 0.000133376 4895.67 0.111734 132.72 0.417207
8 -0.3913 0 11.005 0 0.670574 0.000144742 4891.79 0.121256 131.299 0.359956
9 -0.4922 0 11.005 0 0.636077 0.000123753 4905.86 0.103672 133.498 0.447776
10 -0.2895 0 11.005 0 0.621598 0.00010479 4893.28 0.0877862 134.801 0.422716
11 -0.3636 0 11.005 0 0.621195 9.93548e-05 4891.02 0.0832333 134.846 0.238927
12 -0.1396 0 11.005 0 0.615385 0.000109961 4892.45 0.0921185 135.033 0.417124
13 -0.2883 0 11.005 0 0.642056 0.000109252 4888.21 0.0915249 133.553 0.452236
14 -0.2448 0 11.005 0 0.618725 0.000121064 4895.94 0.10142 134.968 0.385443
15 -0.215 0 11.005 0 0.601094 0.000101363 4893.95 0.0849153 136.663 0.409675
16 -0.2535 0 11.005 0 0.598185 0.000120916 4893.63 0.101296 137.106 0.537329
17 -0.4243 0 11.005 0 0.605227 8.88292e-05 4896.27 0.0744156 136.694 0.448293
18 -0.349 0 11.005 0 0.615756 9.85362e-05 4897.09 0.0825475 135.545 0.509434
19 -0.4401 0 11.005 0 0.603944 0.000106976 4900.03 0.0896177 136.674 0.448242
20 -0.5177 0 11.005 0 0.595208 9.29487e-05 4896.79 0.0778667 138.247 0.425127
21 -0.4556 0 11.005 0 0.587664 9.27204e-05 4895.24 0.0776754 138.807 0.089488
22 -0.4583 0 11.005 0 0.597133 0.000100801 4894.42 0.0844448 138.138 0.55521
23 -0.4111 0 11.005 0 0.578015 9.83767e-05 4899.47 0.0824139 139.454 0.449292
24 -0.3492 0 11.005 0 0.569855 9.70567e-05 4895.41 0.0813081 140.839 0.492139
25 -0.2597 0 11.005 0 0.569595 8.81294e-05 4892.36 0.0738294 140.913 0.506783
26 -0.3506 0 11.005 0 0.577784 9.11761e-05 4896.06 0.0763817 137.924 3.09034
27 -0.365 0 11.005 0 0.5649 9.74628e-05 4896.63 0.0816483 141.47 0.372233
28 -0.3501 0 11.005 0 0.554011 8.84032e-05 4894.28 0.0740587 142.824 0.575888
29 -0.4942 0 11.005 0 0.559682 8.17333e-05 4893.38 0.0684711 142.974 0.421603
30 -0.3882 0 11.005 0 0.56656 8.28655e-05 4892.98 0.0694196 141.666 0.448242
31 -0.3519 0 11.005 0 0.54418 8.52311e-05 4896.73 0.0714013 144.477 0.45374
32 -0.2382 0 11.005 0 0.538438 8.49439e-05 4890.57 0.0711607 141.945 5.35266
33 -0.3992 0 11.005 0 0.544105 8.81325e-05 4893.36 0.0738319 144.674 0.585058
34 -0.357 0 11.005 0 0.529443 8.60406e-05 4894.83 0.0720795 146.815 0.518998
35 -0.2589 0 11.005 0 0.525033 7.96459e-05 4889.73 0.0667224 147.811 0.560309
36 -0.405 0 11.005 0 0.529837 9.32892e-05 4896.51 0.0781519 146.807 0.617811
37 -0.4024 0 11.005 0 0.519338 9.73224e-05 4894.92 0.0815307 148.773 0.612562
38 -0.3803 0 11.005 0 0.514328 7.39372e-05 4890.74 0.06194 150.245 0.601453
39 -0.4819 0 11.005 0 0.526263 8.10522e-05 4890.04 0.0679005 149.013 0.555541
40 -0.3534 0 11.005 0 0.50064 6.96096e-05 4893.58 0.0583146 152.555 0.679928
41 -0.4475 0 11.005 0 0.50494 7.10371e-05 4894.5 0.0595104 144.429 14.2725
42 -0.2812 0 11.005 0 0.485861 7.24264e-05 4894.23 0.0606744 147.658 14.0651
43 -0.3985 0 11.005 0 0.491634 7.01586e-05 4892.75 0.0587745 145.667 17.0934
44 -0.4253 0 11.005 0 0.468516 7.05867e-05 4898.29 0.0591331 161.595 0.9707
45 -0.4026 0 11.005 0 0.481663 7.6079e-05 4892.14 0.0637342 157.992 0.95693
46 -0.4783 0 11.005 0 0.457802 9.07649e-05 4903.58 0.0760372 164.265 1.44921
47 -0.4312 0 11.005 0 0.663054 0.000152336 4901.78 0.127618 131.495 0.469752
48 -0.4633 0 11.005 0 0.644341 0.000131727 4900.62 0.110353 132.893 0.452748
49 -0.3189 0 11.005 0 0.637383 0.000123647 4890.28 0.103584 130.927 4.84098
50 -0.2729 0 11.005 0 0.632208 0.000122969 4896.2 0.103015 133.476 0.533884
51 -0.425 0 11.005 0 0.644654 0.00012952 4902.11 0.108504 132.404 0.206515
52 -0.384 0 11.005 0 0.668645 0.000158379 4892.24 0.13268 130.967 0.449807
53 -0.4945 0 11.005 0 0.633315 0.000127503 4905.41 0.106814 133.857 0.319805
54 -0.4117 0 11.005 0 0.618816 0.000114272 4902.06 0.0957301 134.944 0.093607
55 -0.4116 0 11.005 0 0.617597 0.000102522 4916.07 0.0858866 135.843 0.572411
