Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 1.67194 11.0336 0.000193065 0.632228 0.00011651 4896.38 0.0976049 131.337 0.00169518
4 -0.182561 1.67194 11.0336 0.000193065 0.617477 9.06127e-05 4896.39 0.0759097 132.768 0.00170272
5 0.129837 1.67194 11.0336 0.000193065 0.602367 8.88257e-05 4896.46 0.0744127 133.811 0.00170684
6 -0.158219 1.67194 11.0336 0.000193065 0.607745 0.000102595 4896.23 0.0859476 133.779 0.00170784
7 0.252249 1.67194 11.0336 0.000193065 0.604022 8.74715e-05 4896.21 0.0732782 133.255 0.0017036
8 -0.00894233 1.67194 11.0336 0.000193065 0.632252 0.000100208 4896.53 0.0839479 131.65 0.00169616
9 -0.0314561 1.67194 11.0336 0.000193065 0.595876 8.63332e-05 4895.89 0.0723246 133.913 0.00170686
10 -0.21004 1.67194 11.0336 0.000193065 0.593374 7.59162e-05 4896.65 0.0635979 134.999 0.00171302
11 -0.172947 1.67194 11.0336 0.000193065 0.586513 7.54945e-05 4896.53 0.0632446 135.602 0.00171587
12 0.00726825 1.67194 11.0336 0.000193065 0.589336 7.87675e-05 4896.75 0.0659866 135.253 0.00171454
13 -0.171486 1.67194 11.0336 0.000193065 0.606724 8.02022e-05 4896.71 0.0671884 133.863 0.00170762
14 -0.114808 1.67194 11.0336 0.000193065 0.588707 0.00015438 4896.71 0.12933 134.912 0.00171273
15 -0.0188659 1.67194 11.0336 0.000193065 0.572871 7.20337e-05 4896.55 0.0603454 136.81 0.00172097
16 -0.186601 1.67194 11.0336 0.000193065 0.569847 7.29338e-05 4896.59 0.0610994 137.41 0.00172443
17 -0.0284992 1.67194 11.0336 0.000193065 0.572591 6.92153e-05 4896.41 0.0579843 136.978 0.00172172
18 -0.0409748 1.67194 11.0336 0.000193065 0.586476 7.24428e-05 4896.45 0.0606881 135.789 0.0017159
19 -0.187318 1.67194 11.0336 0.000193065 0.567579 7.64532e-05 4896.13 0.0640477 137.054 0.00172147
20 -0.122314 1.67194 11.0336 0.000193065 0.557849 7.16038e-05 4896.17 0.0599852 138.608 0.00172914
21 -0.100908 1.67194 11.0336 0.000193065 0.555006 6.82393e-05 4896.35 0.0571666 139.243 0.00173315
22 -0.0521458 1.67194 11.0336 0.000193065 0.552485 7.55615e-05 4895.99 0.0633007 138.873 0.00172949
23 -0.154082 1.67194 11.0336 0.000193065 0.543965 7.1199e-05 4896.18 0.0596461 139.794 0.00173324
24 0.0709979 1.67194 11.0336 0.000193065 0.535992 7.08074e-05 4896.34 0.059318 141.141 0.0017403
25 -0.0684934 1.67194 11.0336 0.000193065 0.538471 6.313e-05 4896.53 0.0528864 141.193 0.00174067
26 0.0642571 1.67194 11.0336 0.000193065 0.545865 6.4437e-05 4896.41 0.0539814 140.032 0.00173436
27 -0.102721 1.67194 11.0336 0.000193065 0.532959 7.20091e-05 4896.32 0.0603247 141.636 0.0017421
