Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 0.115845 11.0336 0.000193065 0.616165 9.72872e-05 4943.07 0.0815012 131.685 0.394621
4 -0.182561 0.0714822 11.0336 0.000193065 0.603155 7.76114e-05 4940.31 0.065018 133.083 0.417078
5 0.129837 0.0509193 11.0336 0.000193065 0.586188 7.56615e-05 4937.77 0.0633845 134.14 0.397498
6 -0.158219 0.183947 11.0336 0.000193065 0.593835 8.75882e-05 4942.93 0.073376 134.03 0.432864
7 0.252249 0.106289 11.0336 0.000193065 0.590802 8.47222e-05 4943.21 0.070975 133.434 0.485667
8 -0.00894233 0.0307545 11.0336 0.000193065 0.618815 8.56627e-05 4935.15 0.0717629 131.934 0.433088
9 -0.0314561 0.0192738 11.0336 0.000193065 0.587354 7.53163e-05 4946.68 0.0630953 134.065 0.382293
10 -0.21004 0.0772454 11.0336 0.000193065 0.585348 6.63317e-05 4923.65 0.0555686 135.157 0.445051
11 -0.172947 0.121347 11.0336 0.000193065 0.574011 6.52355e-05 4930.55 0.0546503 110.572 43.4416
12 0.00726825 0.184944 11.0336 0.000193065 0.577734 6.65807e-05 4924 0.0557772 135.484 0.457458
13 -0.171486 0.0378493 11.0336 0.000193065 0.596983 7.0098e-05 4925.97 0.0587238 134.071 0.427743
14 -0.114808 0.0226849 11.0336 0.000193065 0.577667 7.95395e-05 4930.33 0.0666332 135.359 0.432059
15 -0.0188659 0.0628409 11.0336 0.000193065 0.563386 6.36163e-05 4925.54 0.0532938 137.02 0.441397
16 -0.186601 0.0306685 11.0336 0.000193065 0.559889 6.1579e-05 4925.71 0.051587 137.634 0.459709
17 -0.0284992 0.0191916 11.0336 0.000193065 0.5622 5.9029e-05 4932.32 0.0494509 137.23 0.448779
18 -0.0409748 0.062549 11.0336 0.000193065 0.573753 6.35282e-05 4932.27 0.05322 136.121 0.416378
19 -0.187318 0.063359 11.0336 0.000193065 0.558524 6.66321e-05 4938.08 0.0558203 137.244 0.442226
20 -0.122314 0.0293106 11.0336 0.000193065 0.54662 5.91024e-05 4937.49 0.0495123 138.933 0.493375
21 -0.100908 0.0917966 11.0336 0.000193065 0.539339 6.03258e-05 4935.72 0.0505372 139.654 0.492604
22 -0.0521458 0.0894801 11.0336 0.000193065 0.545349 6.2988e-05 4937.81 0.0527674 139.081 0.506916
23 -0.154082 0.036887 11.0336 0.000193065 0.531849 6.06534e-05 4938.14 0.0508116 140.176 0.507204
24 0.0709979 0.036306 11.0336 0.000193065 0.524174 5.97071e-05 4933.68 0.0500189 141.446 0.490436
25 -0.0684934 0.0523658 11.0336 0.000193065 0.527218 5.42677e-05 4927.86 0.0454621 141.518 0.522934
26 0.0642571 0.0164564 11.0336 0.000193065 0.534576 5.58081e-05 4932.25 0.0467526 140.049 0.159696
27 -0.102721 0.0192834 11.0336 0.000193065 0.516729 6.14667e-05 4936.98 0.051493 142.154 0.510162
28 -0.0915984 0.0480299 11.0336 0.000193065 0.513755 5.46831e-05 4928 0.0458101 143.487 0.539269
29 -0.109195 0.0440165 11.0336 0.000193065 0.512589 5.14996e-05 4932.83 0.0431432 143.61 0.543838
30 -0.0158122 0.0132203 11.0336 0.000193065 0.519678 5.19381e-05 4932.25 0.0435105 142.362 0.514419
31 -0.200619 0.0292638 11.0336 0.000193065 0.503645 5.57469e-05 4930.69 0.0467013 145.01 0.574269
32 -0.02034 0.00902801 11.0336 0.000193065 0.494641 5.16115e-05 4927.26 0.0432369 146.151 0.591123
33 -0.0389947 0.00362693 11.0336 0.000193065 0.497422 5.39875e-05 4932.47 0.0452274 145.477 0.572789
34 0.0326716 0.0220853 11.0336 0.000193065 0.478648 5.36813e-05 4937.39 0.0449709 147.719 0.634334
