Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 0.115845 11.0336 0.000193065 0.629429 0.000146753 4896.55 0.122941 131.084 0.0912079
4 -0.182561 0.0714822 11.0336 0.000193065 0.614986 0.000120897 4896.48 0.10128 132.543 0.124688
5 0.129837 0.0509193 11.0336 0.000193065 0.593825 0.00011709 4896.43 0.0980905 133.741 0.0897813
6 -0.158219 0.183947 11.0336 0.000193065 0.601079 0.000140727 4896.23 0.117892 133.625 0.090696
7 0.252249 0.106289 11.0336 0.000193065 0.59917 0.000133376 4896.32 0.111734 133.007 0.0786172
8 -0.00894233 0.0307545 11.0336 0.000193065 0.630808 0.000144742 4896.71 0.121256 131.333 0.0997351
9 -0.0314561 0.0192738 11.0336 0.000193065 0.59443 0.000123753 4896.06 0.103672 133.7 0.0936671
10 -0.21004 0.0772454 11.0336 0.000193065 0.590963 0.00010479 4896.82 0.0877862 134.741 0.0843803
11 -0.172947 0.121347 11.0336 0.000193065 0.586986 9.94045e-05 4896.92 0.0832749 135.145 0.173373
12 0.00726825 0.184944 11.0336 0.000193065 0.582613 0.000109961 4896.84 0.0921185 134.976 0.135666
13 -0.171486 0.0378493 11.0336 0.000193065 0.610035 0.000109252 4897.07 0.0915249 133.436 0.117271
14 -0.114808 0.0226849 11.0336 0.000193065 0.586625 0.000121064 4896.72 0.10142 134.933 0.066274
15 -0.0188659 0.0628409 11.0336 0.000193065 0.567057 0.000101363 4896.57 0.0849153 128.583 11.3803
16 -0.186601 0.0306685 11.0336 0.000193065 0.567828 0.000120916 4896.86 0.101296 136.901 0.0581609
17 -0.0284992 0.0191916 11.0336 0.000193065 0.565136 8.88292e-05 4896.41 0.0744156 136.809 0.0761771
18 -0.0409748 0.062549 11.0336 0.000193065 0.578362 9.85362e-05 4896.48 0.0825475 135.589 0.118937
19 -0.187318 0.063359 11.0336 0.000193065 0.568332 0.000106976 4896.39 0.0896177 136.714 0.077151
20 -0.122314 0.0293106 11.0336 0.000193065 0.555226 9.29487e-05 4896.3 0.0778667 138.305 0.108924
21 -0.100908 0.0917966 11.0336 0.000193065 0.548909 9.27204e-05 4896.32 0.0776754 139.103 0.0608818
22 -0.0521458 0.0894801 11.0336 0.000193065 0.556612 0.000100801 4896.48 0.0844448 138.276 0.196159
23 -0.154082 0.036887 11.0336 0.000193065 0.542234 9.83767e-05 4896.35 0.0824139 139.393 0.155663
24 0.0709979 0.036306 11.0336 0.000193065 0.529007 9.70567e-05 4896.3 0.0813081 140.961 0.121357
25 -0.0684934 0.0523658 11.0336 0.000193065 0.535488 8.81294e-05 4896.68 0.0738294 140.897 0.0774728
26 0.0642571 0.0164564 11.0336 0.000193065 0.537105 9.11761e-05 4896.32 0.0763817 139.922 0.0811601
27 -0.102721 0.0192834 11.0336 0.000193065 0.528963 9.74628e-05 4896.32 0.0816483 141.469 0.142439
28 -0.0915984 0.0480299 11.0336 0.000193065 0.51796 8.84032e-05 4896.49 0.0740587 142.934 0.155972
29 -0.109195 0.0440165 11.0336 0.000193065 0.519966 8.17333e-05 4896.25 0.0684711 143.051 0.0463366
30 -0.0158122 0.0132203 11.0336 0.000193065 0.527066 8.28655e-05 4896.42 0.0694196 141.714 0.107579
31 -0.200619 0.0292638 11.0336 0.000193065 0.511756 8.52311e-05 4896.24 0.0714013 144.335 0.107772
32 -0.02034 0.00902801 11.0336 0.000193065 0.503391 8.49439e-05 4896.69 0.0711607 145.26 0.0408332
33 -0.0389947 0.00362693 11.0336 0.000193065 0.505003 8.81325e-05 4896.35 0.0738319 144.773 0.142907
34 0.0326716 0.0220853 11.0336 0.000193065 0.48959 8.60406e-05 4896.15 0.0720795 146.872 0.0808575
