Spectrum	t0	t0_Err	L0	L0_Err	L1	L1_Err	E1	E1_Err	theta	theta_Err
3	-0.0934574	0.0559156	11.0049	0.000636239	0.644473	9.72872e-05	4919.36	0.0815012	131.692	0.394588
4	-0.0266972	0.0660976	11.0049	0.000636239	0.627139	7.76114e-05	4920.22	0.065018	133.185	0.417179
5	-0.0352965	0.0375227	11.0049	0.000636239	0.620197	7.56615e-05	4909.28	0.0633845	134.019	0.397331
6	-0.00535964	0.00925765	11.0049	0.000636239	0.617936	8.75882e-05	4922.74	0.073376	134.132	0.433047
7	-0.0855118	0.0742484	11.0049	0.000636239	0.630187	8.47222e-05	4910.21	0.070975	133.196	0.484903
8	0.0729922	0.0516334	11.0049	0.000636239	0.645053	8.56627e-05	4913.17	0.0717629	131.985	0.433139
9	-0.0141047	0.00166777	11.0049	0.000636239	0.615705	7.53163e-05	4922.93	0.0630953	134.07	0.382243
10	0.0768188	0.0118884	11.0049	0.000636239	0.605261	6.63317e-05	4906.97	0.0555686	135.358	0.445564
11	0.0408698	0.0775385	11.0049	0.000636239	0.596228	6.52355e-05	4911.94	0.0546503	110.689	43.4994
12	0.0168761	0.000176126	11.0049	0.000636239	0.606287	6.65807e-05	4900.08	0.0557772	135.485	0.457416
13	-0.0359973	0.0270808	11.0049	0.000636239	0.621585	7.0098e-05	4905.36	0.0587238	134.161	0.427876
14	0.0569431	0.01756	11.0049	0.000636239	0.601189	7.95395e-05	4910.63	0.0666332	135.478	0.432331
15	0.0580276	0.0231468	11.0049	0.000636239	0.589883	6.36163e-05	4903.35	0.0532938	137.071	0.441491
16	0.00213241	0.0708738	11.0049	0.000636239	0.582908	6.1579e-05	4906.42	0.051587	137.772	0.460155
17	-0.0295485	0.0662615	11.0049	0.000636239	0.591147	5.9029e-05	4908.07	0.0494509	137.222	0.448691
18	0.0616565	0.0522761	11.0049	0.000636239	0.599441	6.35282e-05	4910.75	0.05322	136.19	0.41647
19	-0.120997	0.0378509	11.0049	0.000636239	0.585393	6.66321e-05	4915.57	0.0558203	137.287	0.44229
20	-0.0480269	0.0350692	11.0049	0.000636239	0.573266	5.91024e-05	4915.17	0.0495123	138.983	0.493554
21	-0.0171314	0.0774807	11.0049	0.000636239	0.5657	6.03258e-05	4913.64	0.0505372	139.712	0.492822
