Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.109633 0.115845 11.0336 0.000193065 0.617619 9.72872e-05 4896.08 0.0815012 131.441 0.154971
4 -0.182561 0.0714822 11.0336 0.000193065 0.604547 7.76114e-05 4896.13 0.065018 132.836 0.143219
5 0.129837 0.0509193 11.0336 0.000193065 0.587558 7.56615e-05 4896.15 0.0633845 133.892 0.172004
6 -0.158219 0.183947 11.0336 0.000193065 0.59536 8.75882e-05 4896.02 0.073376 133.753 0.127522
7 0.252249 0.106289 11.0336 0.000193065 0.59228 8.47222e-05 4896.06 0.070975 133.246 0.116067
8 -0.00894233 0.0307545 11.0336 0.000193065 0.619911 8.56627e-05 4896.38 0.0717629 131.671 0.1564
9 -0.0314561 0.0192738 11.0336 0.000193065 0.589136 7.53163e-05 4895.81 0.0630953 133.817 0.156592
10 -0.21004 0.0772454 11.0336 0.000193065 0.586193 6.63317e-05 4896.59 0.0555686 134.897 0.133701
11 -0.172947 0.121347 11.0336 0.000193065 0.575189 6.52355e-05 4896.31 0.0546503 135.623 0.168314
12 0.00726825 0.184944 11.0336 0.000193065 0.578576 6.65807e-05 4896.6 0.0557772 135.213 0.162156
13 -0.171486 0.0378493 11.0336 0.000193065 0.59782 7.0098e-05 4896.6 0.0587238 133.819 0.154179
14 -0.114808 0.0226849 11.0336 0.000193065 0.578702 7.95395e-05 4896.43 0.0666332 135.092 0.11055
15 -0.0188659 0.0628409 11.0336 0.000193065 0.564428 6.36163e-05 4896.43 0.0532938 136.751 0.156008
16 -0.186601 0.0306685 11.0336 0.000193065 0.560893 6.1579e-05 4896.46 0.051587 137.354 0.153359
17 -0.0284992 0.0191916 11.0336 0.000193065 0.563455 5.9029e-05 4896.25 0.0494509 136.959 0.140964
18 -0.0409748 0.062549 11.0336 0.000193065 0.575072 6.35282e-05 4896.19 0.05322 135.866 0.182451
19 -0.187318 0.063359 11.0336 0.000193065 0.560052 6.66321e-05 4896.02 0.0558203 136.963 0.154278
20 -0.122314 0.0293106 11.0336 0.000193065 0.548163 5.91024e-05 4896.01 0.0495123 138.608 0.1515
21 -0.100908 0.0917966 11.0336 0.000193065 0.540894 6.03258e-05 4896 0.0505372 139.334 0.174515
22 -0.0521458 0.0894801 11.0336 0.000193065 0.546977 6.2988e-05 4895.94 0.0527674 138.741 0.209172
23 -0.154082 0.036887 11.0336 0.000193065 0.533496 6.06534e-05 4895.92 0.0508116 139.9 0.118557
24 0.0709979 0.036306 11.0336 0.000193065 0.525593 5.97071e-05 4896.11 0.0500189 141.135 0.16436
25 -0.0684934 0.0523658 11.0336 0.000193065 0.528394 5.42677e-05 4896.31 0.0454621 141.294 0.11336
26 0.0642571 0.0164564 11.0336 0.000193065 0.535879 5.58081e-05 4896.21 0.0467526 140.011 0.15728
27 -0.102721 0.0192834 11.0336 0.000193065 0.518416 6.14667e-05 4895.89 0.051493 141.82 0.161475
28 -0.0915984 0.0480299 11.0336 0.000193065 0.515057 5.46831e-05 4896.21 0.0458101 143.152 0.194602
29 -0.109195 0.0440165 11.0336 0.000193065 0.514133 5.14996e-05 4896.01 0.0431432 143.264 0.119895
30 -0.0158122 0.0132203 11.0336 0.000193065 0.521079 5.19381e-05 4896.13 0.0435105 142.041 0.190854
31 -0.200619 0.0292638 11.0336 0.000193065 0.505258 5.57469e-05 4895.95 0.0467013 144.65 0.180321
32 -0.02034 0.00902801 11.0336 0.000193065 0.495896 5.16115e-05 4896.25 0.0432369 145.815 0.209776
33 -0.0389947 0.00362693 11.0336 0.000193065 0.498991 5.39875e-05 4895.99 0.0452274 145.111 0.199558
34 0.0326716 0.0220853 11.0336 0.000193065 0.480557 5.36813e-05 4895.7 0.0449709 147.302 0.204712
35 -0.191889 0.0768739 11.0336 0.000193065 0.489071 4.89238e-05 4896.46 0.0409853 147.926 0.235677
36 -0.0336664 1.37488e-05 11.0336 0.000193065 0.486562 5.16567e-05 4895.94 0.0432748 147.25 0.22747
37 0.0329497 0.00603054 11.0336 0.000193065 0.469202 6.01075e-05 4895.6 0.0503544 149.533 0.168311
38 -0.0957589 0.0495124 11.0336 0.000193065 0.469489 4.66837e-05 4896 0.0391087 150.727 0.283102
39 0.0913752 0.0455202 11.0336 0.000193065 0.469485 4.99981e-05 4895.59 0.0418853 149.888 0.258882
40 -0.0171352 0.0122865 11.0336 0.000193065 0.455262 4.37846e-05 4895.84 0.03668 153.047 0.298096
41 -0.0295366 0.0498054 11.0336 0.000193065 0.458978 4.42832e-05 4895.77 0.0370977 153.088 0.286387
42 -0.0294787 0.0191356 11.0336 0.000193065 0.444279 4.59726e-05 4895.87 0.038513 155.917 0.282312
43 -0.179485 0.0228084 11.0336 0.000193065 0.451145 4.42014e-05 4896.04 0.0370292 155.695 0.308467
