E(MeV)  pendfb7/In113:1
1e-11  616.66767
1.02999e-11  607.632222
1.06087e-11  598.732188
1.09269e-11  589.958692
1.12544e-11  581.319352
1.1592e-11  572.801914
1.19395e-11  564.413963
1.22976e-11  556.144747
1.26662e-11  548.00126
1.30462e-11  539.972007
1.34372e-11  532.066918
1.38403e-11  524.272003
1.42552e-11  516.597023
1.46827e-11  509.030238
1.51229e-11  501.578071
1.55765e-11  494.23075
1.60434e-11  486.99695
1.65246e-11  479.864331
1.70199e-11  472.84093
1.75304e-11  465.916868
1.80559e-11  459.097653
1.85975e-11  452.375093
1.9155e-11  445.75512
1.97295e-11  439.228836
2.03209e-11  432.801681
2.09305e-11  426.464976
2.15579e-11  420.226026
2.22045e-11  414.074425
2.28701e-11  408.017177
2.35561e-11  402.044832
2.42622e-11  396.164472
2.49899e-11  390.366746
2.5739e-11  384.657564
2.6511e-11  379.02917
2.73057e-11  373.486404
2.81247e-11  368.022334
2.89678e-11  362.641236
2.98367e-11  357.336262
3.07311e-11  352.112593
3.16528e-11  346.962718
3.26017e-11  341.891278
3.35795e-11  336.891702
3.45861e-11  331.968364
3.56235e-11  327.114622
3.66913e-11  322.335674
3.68469e-11  321.668607
3.77919e-11  317.623938
3.81122e-11  316.310558
3.89247e-11  312.984328
3.94211e-11  311.037706
4.00923e-11  308.409847
4.07749e-11  305.849739
4.12941e-11  303.905581
4.21751e-11  300.745242
4.25327e-11  299.46449
4.36235e-11  295.72219
4.38076e-11  295.091579
4.51216e-11  290.780158
4.64742e-11  286.535612
4.66711e-11  285.943674
4.78681e-11  282.350992
4.82739e-11  281.184242
4.9303e-11  278.230161
4.99317e-11  276.50142
5.07818e-11  274.167636
5.16464e-11  271.893891
5.23041e-11  270.167006
5.34201e-11  267.360036
5.38729e-11  266.222949
5.52546e-11  262.899253
5.54878e-11  262.339167
5.71521e-11  258.510281
5.88653e-11  254.740693
5.91148e-11  254.214819
6.0631e-11  251.024262
6.11449e-11  249.988322
6.24484e-11  247.364883
6.32447e-11  245.829733
6.43215e-11  243.757122
6.54167e-11  241.737759
6.62496e-11  240.204457
6.76632e-11  237.711805
6.82368e-11  236.701941
6.99868e-11  233.75061
7.02822e-11  233.2532
7.23903e-11  229.853098
7.45603e-11  226.505823
7.48763e-11  226.038889
7.67967e-11  223.205774
7.74477e-11  222.285804
7.90987e-11  219.956377
8.01073e-11  218.593274
8.14712e-11  216.752896
8.28584e-11  214.959887
8.39134e-11  213.598392
8.57038e-11  211.385253
8.64304e-11  210.488486
8.86471e-11  207.867923
8.90212e-11  207.426347
9.16913e-11  204.407509
9.44399e-11  201.435536
9.48402e-11  201.020929
9.72725e-11  198.505685
9.80971e-11  197.688788
1.00188e-10  195.620676
1.01466e-10  194.410186
1.03193e-10  192.776964
1.0495e-10  191.185305
1.06287e-10  189.975994
1.08555e-10  188.010888
1.09475e-10  187.214978
1.12283e-10  184.888011
1.12756e-10  184.496636
1.16139e-10  181.816248
1.1962e-10  179.178352
1.20127e-10  178.81032
1.23208e-10  176.57731
1.24252e-10  175.852566
1.26901e-10  174.01648
1.28519e-10  172.942357
1.30707e-10  171.492065
1.32933e-10  170.078987
1.34626e-10  169.005896
1.37498e-10  167.261928
1.38664e-10  166.554965
1.4222e-10  164.490144
1.4282e-10  164.14227
1.47104e-10  161.763457
1.51513e-10  159.421839
1.52156e-10  159.094823
1.56058e-10  157.113393
1.57381e-10  156.469862
1.60736e-10  154.840407
1.62786e-10  153.886828
1.65557e-10  152.599928
1.69087e-10  151.029786
1.7052e-10  150.393448
1.75635e-10  148.218078
1.80899e-10  146.077361
1.82433e-10  145.479978
1.86325e-10  143.966874
1.89498e-10  142.785395
1.91911e-10  141.888395
1.96833e-10  140.135919
1.97667e-10  139.839456
2.03592e-10  137.822416
2.04455e-10  137.541066
2.09699e-10  135.834304
2.12369e-10  135.002039
2.15985e-10  133.876749
2.20593e-10  132.503344
2.22463e-10  131.946894
2.29132e-10  130.046562
2.36004e-10  128.174136
2.38005e-10  127.65202
2.43079e-10  126.330226
2.47217e-10  125.297859
2.5037e-10  124.512493
2.56791e-10  122.980895
2.57875e-10  122.722734
2.6561e-10  120.958651
2.66731e-10  120.713824
2.73572e-10  119.222145
2.7706e-10  118.493749
2.81777e-10  117.510256
2.87784e-10  116.310939
2.90224e-10  115.824539
2.98929e-10  114.162791
3.0789e-10  112.527453
3.11816e-10  111.841301
3.17125e-10  110.915033
3.25258e-10  109.556326
3.26631e-10  109.327335
3.36428e-10  107.762662
3.3928e-10  107.326511
3.46513e-10  106.222261
3.53906e-10  105.141411
3.56906e-10  104.703537
3.67605e-10  103.208341
3.69163e-10  102.999836
3.78631e-10  101.734875
3.85077e-10  100.910276
3.89981e-10  100.283957
4.01678e-10  98.853456
4.13719e-10  97.4458122
4.18994e-10  96.8553019
4.26128e-10  96.0579675
4.37057e-10  94.8884032
4.38901e-10  94.6913902
4.52066e-10  93.3447746
4.57822e-10  92.7810057
4.65617e-10  92.0188444
4.79583e-10  90.7114412
4.93959e-10  89.4250637
5.02369e-10  88.7045557
5.08775e-10  88.1566513
5.24026e-10  86.9077484
5.26247e-10  86.7336127
5.39744e-10  85.6771635
5.5125e-10  84.8148688
5.55923e-10  84.4652239
5.72598e-10  83.2707883
5.77452e-10  82.9378864
5.89762e-10  82.0950523
6.07452e-10  80.9355113
6.25661e-10  79.7947779
6.3901e-10  78.9941355
6.44427e-10  78.6697786
6.63744e-10  77.5624536
6.72208e-10  77.097972
6.83653e-10  76.4709433
7.04146e-10  75.3960736
7.07131e-10  75.2461893
7.25267e-10  74.3370957
7.47007e-10  73.2938238
7.69413e-10  72.2662988
7.89147e-10  71.3999185
7.92477e-10  71.253964
8.16247e-10  70.2566802
8.33648e-10  69.5577761
8.40715e-10  69.2743959
8.65932e-10  68.3064566
8.80675e-10  67.7647272
8.91889e-10  67.3533551
9.18641e-10  66.4139663
9.34281e-10  65.8882426
9.46178e-10  65.4890095
9.74558e-10  64.5773934
9.91151e-10  64.0671794
1.003771e-09  63.6797666
1.033879e-09  62.7950866
1.051482e-09  62.2999742
1.064871e-09  61.9240088
1.096811e-09  61.0655091
1.120193e-09  60.463946
1.129689e-09  60.2200401
1.163573e-09  59.3869992
1.193415e-09  58.6847448
1.198452e-09  58.5664069
1.234399e-09  57.7580965
1.271402e-09  56.9616892
1.27679e-09  56.8506881
1.309537e-09  56.177196
1.348791e-09  55.4044889
1.36599e-09  55.0804412
1.389247e-09  54.642987
1.430892e-09  53.8932663
1.46759e-09  53.2609193
1.47381e-09  53.1539174
1.517989e-09  52.4265354
1.563521e-09  51.7090515
1.576774e-09  51.5091694
1.610389e-09  51.0030314
1.658691e-09  50.3069683
1.701232e-09  49.7202342
1.708412e-09  49.62137
1.759655e-09  48.9461103
1.812403e-09  48.2808725
1.84326e-09  47.9084168
1.866765e-09  47.6251731
1.922723e-09  46.9798496
1.980394e-09  46.3433402
1.997181e-09  46.1660214
2.039758e-09  45.7170301
2.100939e-09  45.0995943
2.163917e-09  44.4913394
2.173089e-09  44.4065608
2.228823e-09  43.8922654
