Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.0934574 0.0559156 11.0049 0.000636239 0.65678 0.000146753 4909.05 0.122941 131.241 0.408814
4 -0.0266972 0.0660976 11.0049 0.000636239 0.63795 0.000120897 4911.16 0.10128 132.903 0.347848
5 -0.0352965 0.0375227 11.0049 0.000636239 0.62675 0.00011709 4903.79 0.0980905 133.746 0.414818
6 -0.00535964 0.00925765 11.0049 0.000636239 0.623883 0.000140727 4917.75 0.117892 133.86 0.434822
7 -0.0855118 0.0742484 11.0049 0.000636239 0.637336 0.000133376 4904.22 0.111734 132.943 0.417521
8 0.0729922 0.0516334 11.0049 0.000636239 0.656291 0.000144742 4903.76 0.121256 131.601 0.360016
9 -0.0141047 0.00166777 11.0049 0.000636239 0.621278 0.000123753 4918.26 0.103672 133.829 0.448654
10 0.0768188 0.0118884 11.0049 0.000636239 0.610294 0.00010479 4902.75 0.0877862 135.061 0.423223
11 0.0408698 0.0775385 11.0049 0.000636239 0.608709 9.93548e-05 4901.48 0.0832333 135.135 0.239799
12 0.0168761 0.000176126 11.0049 0.000636239 0.610597 0.000109961 4896.47 0.0921185 135.145 0.417298
13 -0.0359973 0.0270808 11.0049 0.000636239 0.634317 0.000109252 4894.69 0.0915249 133.726 0.452724
14 0.0569431 0.01756 11.0049 0.000636239 0.60942 0.000121064 4903.73 0.10142 135.184 0.385807
15 0.0580276 0.0231468 11.0049 0.000636239 0.592671 0.000101363 4901.01 0.0849153 136.868 0.410182
16 0.00213241 0.0708738 11.0049 0.000636239 0.590302 0.000120916 4900.23 0.101296 137.299 0.538366
17 -0.0295485 0.0662615 11.0049 0.000636239 0.593012 8.88292e-05 4906.51 0.0744156 136.99 0.449313
18 0.0616565 0.0522761 11.0049 0.000636239 0.603056 9.85362e-05 4907.72 0.0825475 135.844 0.510716
19 -0.120997 0.0378509 11.0049 0.000636239 0.594077 0.000106976 4908.29 0.0896177 136.913 0.449026
20 -0.0480269 0.0350692 11.0049 0.000636239 0.580643 9.29487e-05 4908.99 0.0778667 138.615 0.426264
21 -0.0171314 0.0774807 11.0049 0.000636239 0.574067 9.27204e-05 4906.63 0.0776754 139.158 0.0885165
22 0.0817718 0.0177244 11.0049 0.000636239 0.580381 0.000100801 4908.46 0.0844448 138.56 0.557745
23 -0.0226784 0.0246723 11.0049 0.000636239 0.565959 9.83767e-05 4909.57 0.0824139 139.769 0.450627
24 0.00133781 0.0820521 11.0049 0.000636239 0.558984 9.70567e-05 4904.52 0.0813081 141.135 0.493765
25 -0.0583285 0.00110281 11.0049 0.000636239 0.563386 8.81294e-05 4897.56 0.0738294 141.083 0.507841
26 -0.00272881 0.00512735 11.0049 0.000636239 0.567003 9.11761e-05 4905.09 0.0763817 138.196 3.10968
27 -0.0112172 0.00343019 11.0049 0.000636239 0.55392 9.74628e-05 4905.83 0.0816483 141.774 0.372967
28 -0.135807 0.0153997 11.0049 0.000636239 0.547386 8.84032e-05 4899.82 0.0740587 143.015 0.577582
29 -0.150149 0.0142591 11.0049 0.000636239 0.549008 8.17333e-05 4902.32 0.0684711 143.283 0.423151
30 0.00955569 0.0585875 11.0049 0.000636239 0.554215 8.28655e-05 4903.32 0.0694196 142.01 0.450023
31 0.142149 0.0499447 11.0049 0.000636239 0.528781 8.52311e-05 4909.63 0.0714013 144.944 0.456698
32 0.0142646 0.0284965 11.0049 0.000636239 0.530614 8.49439e-05 4897.12 0.0711607 142.17 5.38366
