Spectrum t0 t0_Err L0 L0_Err L1 L1_Err E1 E1_Err theta theta_Err
3 -0.0934574 0.0559156 11.0049 0.000636239 0.645517 9.72872e-05 4896.43 0.0815012 131.457 0.154955
4 -0.0266972 0.0660976 11.0049 0.000636239 0.628232 7.76114e-05 4896.38 0.065018 132.996 0.113324
5 -0.0352965 0.0375227 11.0049 0.000636239 0.620911 7.56615e-05 4896.7 0.0633845 133.787 0.172336
6 -0.00535964 0.00925765 11.0049 0.000636239 0.619134 8.75882e-05 4896.3 0.073376 133.862 0.127146
7 -0.0855118 0.0742484 11.0049 0.000636239 0.630837 8.47222e-05 4896.76 0.070975 133.029 0.11657
8 0.0729922 0.0516334 11.0049 0.000636239 0.645828 8.56627e-05 4896.65 0.0717629 131.728 0.156247
9 -0.0141047 0.00166777 11.0049 0.000636239 0.616991 7.53163e-05 4896.22 0.0630953 133.835 0.156579
10 0.0768188 0.0118884 11.0049 0.000636239 0.605929 6.63317e-05 4896.74 0.0555686 135.102 0.133005
11 0.0408698 0.0775385 11.0049 0.000636239 0.597124 6.52355e-05 4896.55 0.0546503 135.781 0.167933
12 0.0168761 0.000176126 11.0049 0.000636239 0.606662 6.65807e-05 4896.99 0.0557772 135.226 0.162161
13 -0.0359973 0.0270808 11.0049 0.000636239 0.622119 7.0098e-05 4896.85 0.0587238 133.916 0.153908
14 0.0569431 0.01756 11.0049 0.000636239 0.601905 7.95395e-05 4896.7 0.0666332 135.217 0.110096
15 0.0580276 0.0231468 11.0049 0.000636239 0.590484 6.36163e-05 4896.8 0.0532938 136.814 0.155874
16 0.00213241 0.0708738 11.0049 0.000636239 0.58358 6.1579e-05 4896.74 0.051587 137.5 0.15298
17 -0.0295485 0.0662615 11.0049 0.000636239 0.591857 5.9029e-05 4896.71 0.0494509 136.965 0.140989
18 0.0616565 0.0522761 11.0049 0.000636239 0.600355 6.35282e-05 4896.53 0.05322 135.945 0.182369
19 -0.120997 0.0378509 11.0049 0.000636239 0.586425 6.66321e-05 4896.44 0.0558203 137.018 0.154163
20 -0.0480269 0.0350692 11.0049 0.000636239 0.574292 5.91024e-05 4896.44 0.0495123 138.672 0.151367
21 -0.0171314 0.0774807 11.0049 0.000636239 0.566735 6.03258e-05 4896.43 0.0505372 139.406 0.174409
22 0.0817718 0.0177244 11.0049 0.000636239 0.571311 6.2988e-05 4896.31 0.0527674 138.85 0.209133
23 -0.0226784 0.0246723 11.0049 0.000636239 0.557903 6.06534e-05 4896.33 0.0508116 140.011 0.118228
24 0.00133781 0.0820521 11.0049 0.000636239 0.556047 5.97071e-05 4896.73 0.0500189 141.085 0.16452
25 -0.0583285 0.00110281 11.0049 0.000636239 0.556447 5.42677e-05 4896.83 0.0454621 141.214 0.185737
26 -0.00272881 0.00512735 11.0049 0.000636239 0.566256 5.58081e-05 4896.79 0.0467526 139.965 0.157445
27 -0.0112172 0.00343019 11.0049 0.000636239 0.544018 6.14667e-05 4896.36 0.051493 141.904 0.161342
28 -0.135807 0.0153997 11.0049 0.000636239 0.544741 5.46831e-05 4896.81 0.0458101 143.122 0.194686
29 -0.150149 0.0142591 11.0049 0.000636239 0.543717 5.14996e-05 4896.62 0.0431432 143.237 0.120034
30 0.00955569 0.0585875 11.0049 0.000636239 0.548671 5.19381e-05 4896.66 0.0435105 142.07 0.190867
31 0.142149 0.0499447 11.0049 0.000636239 0.523301 5.57469e-05 4896.16 0.0467013 144.972 0.179977
32 0.0142646 0.0284965 11.0049 0.000636239 0.523202 5.16115e-05 4896.82 0.0432369 145.857 0.209833
33 0.0555441 0.00491129 11.0049 0.000636239 0.524496 5.39875e-05 4896.49 0.0452274 145.207 0.199561
34 0.0271431 0.00994585 11.0049 0.000636239 0.509063 5.36813e-05 4896.38 0.0449709 147.306 0.204776
35 -0.056123 0.00121628 11.0049 0.000636239 0.513333 4.89238e-05 4896.92 0.0409853 148.073 0.235912
36 -0.000485706 0.0309781 11.0049 0.000636239 0.513907 5.16567e-05 4896.55 0.0432748 147.292 0.227565
37 -0.00614271 0.0600291 11.0049 0.000636239 0.498712 6.01075e-05 4896.35 0.0503544 149.502 0.168406
38 -0.0266507 0.017594 11.0049 0.000636239 0.495747 4.66837e-05 4896.6 0.0391087 150.815 0.283497
39 0.0643298 0.046165 11.0049 0.000636239 0.498633 4.99981e-05 4896.33 0.0418853 149.87 0.258909
40 -0.00451292 0.0449944 11.0049 0.000636239 0.483211 4.37846e-05 4896.55 0.03668 153.077 0.301446
41 -0.0190319 0.000606973 11.0049 0.000636239 0.486992 4.42832e-05 4896.47 0.0370977 153.113 0.286581
42 0.0660233 0.044453 11.0049 0.000636239 0.469736 4.59726e-05 4896.49 0.038513 156.062 0.283239
43 -0.059571 0.0703523 11.0049 0.000636239 0.47587 4.42014e-05 4896.61 0.0370292 155.871 0.309361
44 -0.0958013 0.00533095 11.0049 0.000636239 0.453071 4.53141e-05 4896.3 0.0379614 162.28 0.404858
45 -0.0158031 0.0291869 11.0049 0.000636239 0.462762 4.72154e-05 4896.53 0.0395541 158.951 0.36404
46 -0.120844 0.00228337 11.0049 0.000636239 0.44215 5.93606e-05 4895.95 0.0497287 165.884 0.513947
47 -0.977986 0.230406 11.0049 0.000636239 0.6662 9.34086e-05 4896.97 0.0782519 131.312 0.124438
48 -0.234934 0.0678416 11.0049 0.000636239 0.633747 8.19024e-05 4896.64 0.0686128 133.032 0.137557
49 -0.089613 0.0257033 11.0049 0.000636239 0.620668 7.78032e-05 4896.76 0.0651787 133.923 0.125063
50 -0.258645 0.0269665 11.0049 0.000636239 0.626854 7.75993e-05 4896.87 0.0650078 133.683 0.113634
51 -0.250182 0.021056 11.0049 0.000636239 0.635237 7.79557e-05 4896.64 0.0653065 132.875 0.160849
52 -10.233 3.55356 11.0049 0.000636239 0.955653 9.63714e-05 4893.58 0.080734 125.391 0.123318
53 -0.395466 0.0584819 11.0049 0.000636239 0.627736 7.62944e-05 4896.56 0.0639147 133.866 0.0984891
54 -0.228386 0.0839398 11.0049 0.000636239 0.611967 7.09869e-05 4896.64 0.0594684 135.161 0.170255
55 -3.91 3.55083 11.0049 0.000636239 0.718432 6.51224e-05 4898.77 0.0545555 133.04 0.161045
56 -0.111517 0.00562985 11.0049 0.000636239 0.607912 7.2721e-05 4896.83 0.0609212 135.046 0.114768
57 -0.238651 0.00778103 11.0049 0.000636239 0.62422 7.52439e-05 4896.74 0.0630346 133.648 0.201087
58 -0.325001 0.123871 11.0049 0.000636239 0.6052 7.28071e-05 4896.5 0.0609933 135.576 0.168906
59 -0.206905 0.0575747 11.0049 0.000636239 0.592149 6.49523e-05 4896.42 0.054413 136.98 0.157055
60 -0.0679267 0.0079254 11.0049 0.000636239 0.586791 6.31903e-05 4896.85 0.0529369 137.477 0.159848
61 -0.0657396 0.0172883 11.0049 0.000636239 0.593712 6.56983e-05 4896.76 0.055038 136.789 0.126313
62 -0.107371 0.101786 11.0049 0.000636239 0.606204 7.5801e-05 4896.55 0.0635013 135.613 0.177897
63 -0.24238 0.0106654 11.0049 0.000636239 0.586172 6.73522e-05 4896.47 0.0564235 137.351 0.12034
64 -0.148934 0.0103175 11.0049 0.000636239 0.569155 6.95797e-05 4896.49 0.0582895 139.143 0.19541
65 -0.180147 0.0163118 11.0049 0.000636239 0.570962 5.99868e-05 4896.72 0.0502532 139.39 0.168262
66 -0.134493 0.0480894 11.0049 0.000636239 0.577006 6.22267e-05 4896.83 0.0521297 138.658 0.150679
67 -0.141661 0.0126147 11.0049 0.000636239 0.560063 6.14146e-05 4896.3 0.0514493 140.212 0.145083
68 -0.2019 0.0539362 11.0049 0.000636239 0.556554 6.03944e-05 4896.5 0.0505947 141.349 0.162945
69 -0.186161 0.0111624 11.0049 0.000636239 0.558243 5.60204e-05 4896.62 0.0469305 141.18 0.166472
