Det	Plik	theta	t0	L0	L1
3	3	131.6989	-0.0935	11.0049	0.6382
4	4	131.4998	-0.0267	11.0049	0.6274
5	5	130.8848	-0.0353	11.0049	0.6005
6	6	131.6321	-0.0054	11.0049	0.6082
7	7	126.9274	-0.0855	11.0049	0.6149
8	8	130.4445	0.073	11.0049	0.6526
9	9	133.1938	-0.0141	11.0049	0.5955
10	10	134.1001	0.0768	11.0049	0.6048
11	11	131.4581	0.0409	11.0049	0.5963
12	12	133.5378	0.0169	11.0049	0.5957
13	13	132.2584	-0.036	11.0049	0.6255
14	14	134.0057	0.0569	11.0049	0.5934
15	15	135.4604	0.058	11.0049	0.5848
16	16	134.3136	0.0021	11.0049	0.5769
17	17	133.8192	-0.0295	11.0049	0.592
18	18	130.8024	0.0617	11.0049	0.601
19	19	137.7759	-0.121	11.0049	0.5776
20	20	139.0158	-0.048	11.0049	0.5724
21	21	135.9845	-0.0171	11.0049	0.5682
22	22	134.805	0.0818	11.0049	0.5741
23	23	138.8606	-0.0227	11.0049	0.5469
24	24	138.0321	0.0013	11.0049	0.5465
25	25	137.8421	-0.0583	11.0049	0.5577
26	26	136.5752	-0.0027	11.0049	0.5702
27	27	141.3105	-0.0112	11.0049	0.5431
28	28	139.41	-0.1358	11.0049	0.5263
29	29	140.8271	-0.1501	11.0049	0.5477
30	30	138.1939	0.0096	11.0049	0.5519
31	31	144.1863	0.1421	11.0049	0.5135
32	32	143.588	0.0143	11.0049	0.523
33	33	141.5609	0.0555	11.0049	0.5254
34	34	146.5659	0.0271	11.0049	0.5069
35	35	144.0272	-0.0561	11.0049	0.5063
36	36	143.1049	-5E-4	11.0049	0.5096
37	37	148.33	-0.0061	11.0049	0.4844
38	38	150.5189	-0.0267	11.0049	0.5028
39	39	143.0109	0.0643	11.0049	0.495
40	40	148.3211	-0.0045	11.0049	0.4725
41	41	149.2701	-0.019	11.0049	0.4801
42	42	154.1799	0.066	11.0049	0.4633
43	43	151.142	-0.0596	11.0049	0.475
44	44	161.4457	-0.0958	11.0049	0.4528
45	45	158.9433	-0.0158	11.0049	0.4713
46	46	170.6193	-0.1208	11.0049	0.4438
47	47	132.6385	-0.978	11.0049	0.658
48	48	133.0643	-0.2349	11.0049	0.6361
49	49	132.4935	-0.0896	11.0049	0.6161
50	50	130.6893	-0.2586	11.0049	0.6226
51	51	131.1569	-0.2502	11.0049	0.634
52	52	129.5033	-10.233	11.0049	0.9564
53	53	131.3572	-0.3955	11.0049	0.6091
54	54	134.4419	-0.2284	11.0049	0.6082
55	55	133.8236	-3.91	11.0049	0.7186
56	56	134.3157	-0.1115	11.0049	0.6191
57	57	130.1466	-0.2387	11.0049	0.6193
58	58	134.7991	-0.325	11.0049	0.5954
59	59	135.2702	-0.2069	11.0049	0.5762
60	60	136.2027	-0.0679	11.0049	0.5865
61	61	134.3926	-0.0657	11.0049	0.5814
62	62	133.2888	-0.1074	11.0049	0.6184
63	63	139.754	-0.2424	11.0049	0.5743
64	64	135.038	-0.1489	11.0049	0.5601
65	65	136.7699	-0.1801	11.0049	0.5696
66	66	136.2214	-0.1345	11.0049	0.5812
67	67	138.0737	-0.1417	11.0049	0.5521
68	68	139.1642	-0.2019	11.0049	0.5483
69	69	139.5147	-0.1862	11.0049	0.5705
70	70	134.6205	-0.18	11.0049	0.5615
71	71	141.5381	-0.1535	11.0049	0.5311
72	72	140.6099	-0.1619	11.0049	0.5255
73	73	139.538	-0.1817	11.0049	0.5409
74	74	139.0271	-0.2245	11.0049	0.5576
75	75	142.5409	-0.1452	11.0049	0.5103
76	76	143.2739	-0.1747	11.0049	0.526
77	77	139.4563	-0.2199	11.0049	0.5245
78	78	147.623	-0.14	11.0049	0.508
79	79	146.0487	-0.1991	11.0049	0.5014
80	80	142.696	-0.2277	11.0049	0.5202
81	81	149.7425	-0.4173	11.0049	0.4944
82	82	146.7873	-0.2635	11.0049	0.4903
83	83	144.0883	-0.3263	11.0049	0.5099
84	84	148.4965	-0.1839	11.0049	0.4733
85	85	147.2482	-0.3387	11.0049	0.4888
86	86	154.6215	-0.2715	11.0049	0.4756
87	87	149.069	-0.4646	11.0049	0.4787
88	88	154.6028	-1.1805	11.0049	0.5034
89	89	158.9793	-1.1632	11.0049	0.4823
90	90	158.4329	-3.3542	11.0049	0.5329
91	91	130.3928	-0.1141	11.0049	0.634
92	92	132.4733	-0.1268	11.0049	0.6146
93	93	131.392	-0.0808	11.0049	0.6062
94	94	131.0559	-0.1704	11.0049	0.6263
95	95	130.6008	-0.1632	11.0049	0.6255
96	96	131.3255	-0.1974	11.0049	0.6637
97	97	138.1546	-0.1323	11.0049	0.6298
98	98	134.5588	-0.1244	11.0049	0.6018
99	99	135.5245	-0.1051	11.0049	0.6074
100	100	133.2555	-0.0726	11.0049	0.6026
101	101	131.7413	-0.187	11.0049	0.6238
