             ?t            ?L0                ?L0            EW              DE1L        DE1G
    1 3.70000E-01 2.20000E+00 2.30000E+00 2.23232E+00 2.98800E+01 7.43100E+01
    2 3.70000E-01 2.20000E+00 2.30000E+00 2.04771E+00 3.02600E+01 7.04700E+01
    3 3.70000E-01 2.20000E+00 2.30000E+00 1.85515E+00 3.06300E+01 6.94000E+01
    4 3.70000E-01 2.20000E+00 2.30000E+00 1.70446E+00 3.10100E+01 6.95400E+01
    5 3.70000E-01 2.20000E+00 2.30000E+00 2.18068E+00 3.24500E+01 7.15700E+01
    6 3.70000E-01 2.20000E+00 2.30000E+00 2.01561E+00 3.44100E+01 6.84700E+01
    7 3.70000E-01 2.20000E+00 2.30000E+00 1.79697E+00 2.66200E+01 7.23800E+01
    8 3.70000E-01 2.20000E+00 2.30000E+00 1.67305E+00 2.89200E+01 7.07300E+01
    9 3.70000E-01 2.20000E+00 2.30000E+00 2.54037E+00 1.63200E+01 7.49000E+01
   10 3.70000E-01 2.20000E+00 2.30000E+00 2.37087E+00 2.22400E+01 7.17900E+01
   11 3.70000E-01 2.20000E+00 2.30000E+00 2.20035E+00 1.69800E+01 7.29100E+01
   12 3.70000E-01 2.20000E+00 2.30000E+00 2.05779E+00 1.75900E+01 7.36000E+01
   13 3.70000E-01 2.20000E+00 2.30000E+00 2.49209E+00 2.15400E+01 7.27600E+01
   14 3.70000E-01 2.20000E+00 2.30000E+00 2.32892E+00 1.17400E+01 7.85900E+01
   15 3.70000E-01 2.20000E+00 2.30000E+00 2.19123E+00 1.64700E+01 7.30800E+01
   16 3.70000E-01 2.20000E+00 2.30000E+00 2.00029E+00 2.44600E+01 6.95600E+01
   17 3.70000E-01 2.20000E+00 2.30000E+00 3.18628E+00 2.21300E+01 7.62400E+01
   18 3.70000E-01 2.20000E+00 2.30000E+00 3.00578E+00 2.41900E+01 7.37900E+01
   19 3.70000E-01 2.20000E+00 2.30000E+00 2.77598E+00 2.40000E+01 7.21400E+01
   20 3.70000E-01 2.20000E+00 2.30000E+00 2.56839E+00 2.22300E+01 7.38400E+01
   21 3.70000E-01 2.20000E+00 2.30000E+00 3.14758E+00 2.46500E+01 7.42100E+01
   22 3.70000E-01 2.20000E+00 2.30000E+00 3.00678E+00 2.57600E+01 7.22500E+01
   23 3.70000E-01 2.20000E+00 2.30000E+00 2.75800E+00 2.29000E+01 7.41100E+01
   24 3.70000E-01 2.20000E+00 2.30000E+00 2.55507E+00 2.55500E+01 7.36600E+01
   25 3.70000E-01 2.20000E+00 2.30000E+00 3.89853E+00 2.63500E+01 6.70000E+01
   26 3.70000E-01 2.20000E+00 2.30000E+00 4.01443E+00 2.85900E+01 6.50300E+01
   27 3.70000E-01 2.20000E+00 2.30000E+00 3.84223E+00 1.49700E+01 7.40700E+01
   28 3.70000E-01 2.20000E+00 2.30000E+00 3.75135E+00 2.50100E+01 6.89800E+01
   29 3.70000E-01 2.20000E+00 2.30000E+00 3.96254E+00 8.55300E+00 8.05900E+01
   30 3.70000E-01 2.20000E+00 2.30000E+00 3.88867E+00 9.99600E+00 7.72200E+01
   31 3.70000E-01 2.20000E+00 2.30000E+00 3.82071E+00 1.47600E+01 7.69700E+01
   32 3.70000E-01 2.20000E+00 2.30000E+00 3.75050E+00 2.94400E+01 7.25200E+01
   33 3.70000E-01 2.20000E+00 2.30000E+00 3.39362E+00 1.96700E+01 7.66100E+01
   34 3.70000E-01 2.20000E+00 2.30000E+00 3.29043E+00 1.72600E+01 7.66500E+01
   35 3.70000E-01 2.20000E+00 2.30000E+00 3.19891E+00 1.86000E+01 7.55400E+01
   36 3.70000E-01 2.20000E+00 2.30000E+00 3.09078E+00 2.29100E+01 7.88300E+01
   37 3.70000E-01 2.20000E+00 2.30000E+00 3.45992E+00 1.38100E+01 8.00500E+01
   38 3.70000E-01 2.20000E+00 2.30000E+00 3.33422E+00 1.69500E+01 7.64900E+01
   39 3.70000E-01 2.20000E+00 2.30000E+00 3.23734E+00 2.30200E+01 7.33200E+01
   40 3.70000E-01 2.20000E+00 2.30000E+00 3.00248E+00 2.56500E+01 7.61200E+01
   41 3.70000E-01 2.20000E+00 2.30000E+00 2.90006E+00 2.32600E+01 7.60900E+01
   42 3.70000E-01 2.20000E+00 2.30000E+00 2.64427E+00 2.95500E+01 6.97400E+01
   43 3.70000E-01 2.20000E+00 2.30000E+00 2.41549E+00 2.96600E+01 7.13900E+01
   44 3.70000E-01 2.20000E+00 2.30000E+00 2.20484E+00 3.05500E+01 7.47100E+01
   44 3.70000E-01 2.20000E+00 2.30000E+00 2.20484E+00 3.05500E+01 7.47100E+01
   45 3.70000E-01 2.20000E+00 2.30000E+00 2.84178E+00 2.39200E+01 7.88000E+01
   46 3.70000E-01 2.20000E+00 2.30000E+00 2.62561E+00 2.94300E+01 7.15300E+01
   47 3.70000E-01 2.20000E+00 2.30000E+00 2.38251E+00 3.33000E+01 6.90500E+01
   48 3.70000E-01 2.20000E+00 2.30000E+00 2.15807E+00 1.58100E+01 7.94200E+01
   49 3.70000E-01 2.20000E+00 2.30000E+00 2.21977E+00 1.07500E+01 7.89900E+01
   50 3.70000E-01 2.20000E+00 2.30000E+00 2.03248E+00 3.13800E+01 6.38300E+01
   51 3.70000E-01 2.20000E+00 2.30000E+00 1.87979E+00 2.26600E+01 7.06600E+01
   52 3.70000E-01 2.20000E+00 2.30000E+00 1.77301E+00 2.30400E+01 7.11400E+01
   53 3.70000E-01 2.20000E+00 2.30000E+00 2.26477E+00 2.30400E+01 7.00700E+01
   54 3.70000E-01 2.20000E+00 2.30000E+00 2.09615E+00 1.74700E+01 7.35500E+01
   55 3.70000E-01 2.20000E+00 2.30000E+00 1.97044E+00 2.65300E+01 6.73800E+01
   56 3.70000E-01 2.20000E+00 2.30000E+00 1.82685E+00 3.29100E+01 7.34600E+01
   57 3.70000E-01 2.20000E+00 2.30000E+00 1.78111E+00 3.48400E+01 6.84500E+01
   58 3.70000E-01 2.20000E+00 2.30000E+00 1.70728E+00 2.70400E+01 7.19800E+01
   59 3.70000E-01 2.20000E+00 2.30000E+00 1.58666E+00 2.80100E+01 6.94900E+01
   60 3.70000E-01 2.20000E+00 2.30000E+00 1.51946E+00 3.82500E+01 6.91000E+01
   61 3.70000E-01 2.20000E+00 2.30000E+00 1.83507E+00 3.23500E+01 6.95900E+01
   62 3.70000E-01 2.20000E+00 2.30000E+00 1.73687E+00 2.93700E+01 7.23700E+01
   63 3.70000E-01 2.20000E+00 2.30000E+00 1.63908E+00 2.53700E+01 7.34600E+01
   64 3.70000E-01 2.20000E+00 2.30000E+00 1.54644E+00 2.40070E+01 7.30015E+01
